"","Num_Ap","Capital"
"471",471,39560
"472",472,40460
"473",473,39460
"474",474,40390
"475",475,41160
"476",476,42060
"477",477,41060
"478",478,40060
"479",479,41110
"480",480,42080
"481",481,42680
"482",482,45110
"483",483,46070
"484",484,45070
"485",485,46120
"486",486,47100
"487",487,48210
"488",488,48980
"489",489,47980
"490",490,49480
"491",491,50320
"492",492,51220
"493",493,50220
"494",494,49220
"495",495,48220
"496",496,48990
"497",497,47990
"498",498,46990
"499",499,47740
"500",500,48440
"501",501,49040
"502",502,49800
"503",503,51040
"504",504,51940
"505",505,52610
"506",506,53510
"507",507,52510
"508",508,53270
"509",509,52270
"510",510,53080
"511",511,52080
"512",512,52780
"513",513,53730
"514",514,52730
"515",515,51730
"516",516,50730
"517",517,49730
"518",518,48730
"519",519,49780
"520",520,50490
"521",521,51100
"522",522,52110
"523",523,53050
"524",524,53760
"525",525,52760
"526",526,51760
"527",527,52480
"528",528,51480
"529",529,50480
"530",530,51180
"531",531,51770
"532",532,52380
"533",533,53230
"534",534,54710
"535",535,53710
"536",536,54370
"537",537,55290
"538",538,54290
"539",539,55620
"540",540,54620
"541",541,55450
"542",542,54450
"543",543,53450
"544",544,54190
"545",545,53190
"546",546,52190
"547",547,53330
"548",548,54730
"549",549,53730
"550",550,54760
"551",551,53760
"552",552,52760
"553",553,53510
"554",554,54200
"555",555,56150
"556",556,56840
"557",557,57820
"558",558,56820
"559",559,55820
"560",560,56410
"561",561,56990
"562",562,57780
"563",563,56780
"564",564,55780
"565",565,54780
"566",566,55670
"567",567,56460
"568",568,57240
"569",569,57930
"570",570,56930
"571",571,57910
"572",572,58510
"573",573,59250
"574",574,58250
"575",575,59030
"576",576,59670
"577",577,60570
"578",578,59570
"579",579,58570
"580",580,59320
"581",581,59900
"582",582,60750
"583",583,59750
"584",584,60370
"585",585,59370
"586",586,58370
"587",587,57370
"588",588,56370
"589",589,55370
"590",590,56130
"591",591,55130
"592",592,54130
"593",593,55040
"594",594,54040
"595",595,54900
"596",596,53900
"597",597,52900
"598",598,53820
"599",599,54460
"600",600,53460
"601",601,52460
"602",602,53330
"603",603,54090
"604",604,53090
